ADB Sovereign Projects 2005 onwards as of 9 January 2025,,,,,,,,,,,,,,,,,
Note: Projects with Active status are approved projects that have met the conditions for effectiveness for at least one of its sources of financing and is ready for or already undergoing implementation. Information about proposed projects is tentative and indicative.,,,,,,,,,,,,,,,,,
See http://www.adb.org/projects/terms-use for more on using ADB project data.,,,,,,,,,,,,,,,,,
Project Number,Project Name,Country,Financing,Project Type or Modality,Status,Approval Number,Approval Date,ADB Financing (US$),Geographical Location,Sector,Subsector,Safeguard - Environment,Safeguard - Indigenous People,Safeguard - Resettlement,Department,Executing Agency,Project Officer
48404-003,Central Asia Regional Economic Cooperation Corridor Development Investment Program-Tranche 1,Pakistan,Sovereign,Loan,Active,3574,28/09/2017,"120,000,000.00","Nation-wide, Dara, Peshawar, Petaro, Ratodero, Sehwan, Shikarpur",Transport,Road transport (non-urban),B,C,A,Sectors Group,National Highway Authority,"Ghafoor, Khurram"
48404-004,Central Asia Regional Economic Cooperation Corridor Development Investment Program (Tranche 2),Pakistan,Sovereign,Loan,Active,4099,11/08/2021,"235,000,000.00","Rajanpur, Shikarpur",Transport,Road transport (non-urban),B,C,A,Sectors Group,National Highway Authority,"Ghafoor, Khurram"
48404-005,Central Asia Regional Economic Cooperation Corridor Development Investment Program (Tranche 3),Pakistan,Sovereign,Loan,Active,4416,07/12/2023,"360,000,000.00","Nation-wide, Khyber Pakhtunkhwa, Punjab",Transport,Road transport (non-urban),B,C,A,Sectors Group,National Highway Authority,"Mishra, Ritu"
48409-002,Climate-Friendly Agribusiness Value Chains Sector Project,Cambodia,Sovereign,Grant | Loan,Active,0579 | 3661 | 8346,29/06/2018,"90,000,000.00","Kampong Cham Province, Kampot Province, Takeo, Tboung Khmum","Agriculture, natural resources and rural development","Agricultural policy, institutional and capacity development | Agricultural production | Agro-industry, marketing, and trade | Irrigation | Rural market infrastructure | Rural solid waste management",B,B,B,Sectors Group,"Ministry of Agriculture, Forestry & Fisheries","Hem, Chanthou"
48409-003,Climate-Friendly Agribusiness Value Chains Sector Project,Myanmar,Sovereign,Grant | Loan,Active,0617 | 3724,09/10/2018,"40,500,000.00","Magway Region, Mandalay Region, Sagaing Region","Agriculture, natural resources and rural development","Agricultural policy, institutional and capacity development | Agricultural production | Agro-industry, marketing, and trade | Irrigation | Land-based natural resources management",B,B,B,Sectors Group,"Ministry of Agriculture, Livestock and Irrigation","Ancha, Srinivasan"
48409-004,Climate-Friendly Agribusiness Value Chains Sector Project,Lao People's Democratic Republic,Sovereign,Grant,Active,0585,30/07/2018,"40,500,000.00","Champasak, Khammouan, Salavan, Savannakhet, Sekong, Vientiane","Agriculture, natural resources and rural development","Agricultural policy, institutional and capacity development | Agricultural production | Agro-industry, marketing, and trade | Irrigation | Rural market infrastructure",B,B,B,Sectors Group,Ministry of Agriculture and and Forestry - Department of Planning and Finance,"Zafar, Omer A."
48409-005,Impact Evaluation of the Climate-Friendly Agribusiness Value Chains Sector Project,Myanmar,Sovereign,Technical Assistance,Active,9694,17/12/2018,"200,000.00",Nation-wide,"Agriculture, natural resources and rural development","Agricultural policy, institutional and capacity development",,,,Economic Research and Development Impact Department,"Ministry of Agriculture, Livestock and Irrigation","Raitzer, David Anthony"
48414-006,Central Asia Regional Economic Cooperation Corridor 2 Karakalpakstan Road (A380 Kungrad to Daut-Ata Section) Project,Uzbekistan,Sovereign,Loan,Active,3963 | 3965,01/09/2020,"274,200,000.00",Nation-wide,Transport,Road transport (non-urban),A,C,B,Sectors Group,Committee for Roads,"Murodov, Khurshidbek"
48419-002,Support to Public Debt Management,Afghanistan,Sovereign,Technical Assistance,Active,9796,04/09/2019,"550,600.00",Nation-wide,Public sector management,Public expenditure and fiscal management,,,,Sectors Group,,ADB Disclosure
48431-003,Equipping Youth for Employment Project,Myanmar,Sovereign,Loan,Active,3472,28/11/2016,"98,490,000.00","Nation-wide, Ayeyawady Region, Bago Region, Kayin State, Magway Region, Mandalay Region, Mon State, Nay Pyi Taw, Sagaing Region, Shan State, Yangon Region",Education,Education sector development | Secondary | Secondary - social protection initiatives | Technical and vocational education and training,B,B,C,Sectors Group,Ministry of Education,"Mangahas, Joel V."
48431-004,Support for Enhancing Education and Skills Base in Myanmar,Myanmar,Sovereign,Technical Assistance,Active,9891,02/12/2019,0,Nation-wide,Education,Education sector development | Secondary | Technical and vocational education and training,,,,Southeast Asia Department,Ministry of Education,"Yamakawa, Yumiko"
48434-002,Visakhapatnamâ€“Chennai Industrial Corridor Development Program,India,Sovereign,Grant | Loan,Active,0093,20/09/2016,"500,000,000.00",Andhra Pradesh,Energy | Industry and trade | Transport | Water and other urban infrastructure and services,Electricity transmission and distribution | Large and medium industries | Road transport (non-urban) | Urban water supply,,,,South Asia Department,,"Hosur Viswanath, Ashwin"
48434-003,Visakhapatnam-Chennai Industrial Corridor Development Program - Project 1,India,Sovereign,Grant | Loan,Active,0495 | 3430,26/09/2016,"245,000,000.00",Andhra Pradesh,Energy | Industry and trade | Transport | Water and other urban infrastructure and services,Electricity transmission and distribution | Large and medium industries | Road transport (non-urban) | Urban water supply,B,C,A,Sectors Group,"Department of Industries & Commerce, Government of Andhra Pradesh","Hosur Viswanath, Ashwin"
48434-004,Visakhapatnam-Chennai Industrial Corridor Development Program (Tranche 2),India,Sovereign,Loan,Active,4312,24/04/2023,"141,120,000.00",Andhra Pradesh,Industry and trade | Transport | Water and other urban infrastructure and services,Industry and trade sector development | Urban roads and traffic management | Other urban services,B,B,A,Sectors Group,"Department of Industries & Commerce, Government of Andhra Pradesh","Hosur Viswanath, Ashwin"
48435-001,Promoting Sustainable Energy for All in Asia and the Pacific (Cluster TA),Regional,Sovereign,Technical Assistance,Active,0017,16/07/2015,"1,100,000.00",Regional,Energy,Conventional energy generation | Electricity transmission and distribution | Energy efficiency and conservation | Energy sector development and institutional reform | Renewable energy generation - small hydro | Renewable energy generation - solar,,,,Sectors Group,Asian Development Bank,"Nam, Kee-Yung"
48443-002,Hunan Xiangjiang River Watershed Existing Solid Waste Comprehensive Treatment Project,"China, People's Republic of",Sovereign,Loan,Active,3712,26/09/2018,"150,000,000.00",Changsha,"Agriculture, natural resources and rural development | Water and other urban infrastructure and services",Rural solid waste management | Urban solid waste management,A,B,B,Sectors Group,"Bureau of Finance, Hunan Province","Zheng, Baochang"
48444-002,Sustainable Highlands Highway Investment Program,Papua New Guinea,Sovereign,Grant,Active,0099,22/06/2017,"680,000,000.00",Nation-wide,Transport,Road transport (non-urban) | Transport policies and institutional development | Urban roads and traffic management,,,,Pacific Department,,"Ono, Masayoshi"
48444-004,Sustainable Highlands Highway Investment Program â€“ Tranche 1,Papua New Guinea,Sovereign,Grant | Loan,Active,0538 | 3547 | 3548,10/07/2017,"302,000,000.00",Nation-wide,Transport,Road transport (non-urban) | Transport policies and institutional development | Urban roads and traffic management,B,C,C,Sectors Group,Department of Works and Highways,"Ono, Masayoshi"
48444-005,"Sustainable Highlands Highway Investment Program, Tranche 2",Papua New Guinea,Sovereign,Loan,Active,4094 | 4095,06/08/2021,"325,000,000.00",Nation-wide,Transport,Road transport (non-urban) | Transport policies and institutional development,B,C,B,Sectors Group,Department of Works and Highways,"Ono, Masayoshi"
48468-002,Guizhou Rocky Desertification Area Water Management Project,"China, People's Republic of",Sovereign,Loan,Active,3564,20/09/2017,"150,000,000.00",Guizhou Sheng,"Agriculture, natural resources and rural development",Irrigation | Land-based natural resources management | Rural water supply services | Water-based natural resources management,A,B,A,Sectors Group,Guizhou Provincial Finance Department (GFD),"Kobayashi, Yoshiaki"
48480-001,Port Development Project,Nauru,Sovereign,Technical Assistance,Active,9009,03/12/2015,"2,400,000.00",Nation-wide,Transport,Water transport (non-urban),,,,Sectors Group,Department of Finance,"Kasahara, Kaoru"
48480-003,Sustainable and Climate-Resilient Connectivity Project (formerly Port Development Project),Nauru,Sovereign,Grant,Active,0564 | 0565 | 0566 | 0833 | 6005,16/12/2015,"39,300,000.00",Nation-wide,Transport,Water transport (non-urban),B,C,A,Sectors Group,Department of Finance and Sustainable Development,"Kasahara, Kaoru"
48484-002,Outer Island Maritime Infrastructure Project,Tuvalu,Sovereign,Grant,Active,0511 | 0512 | 0513 | 0603 | 0775 | 0921 | 0922 | 6003,16/11/2015,"63,720,000.00","Nanumanga Island, Niutao, Nukulaelae, Tuvalu",Transport,Water transport (non-urban),B,C,C,Sectors Group,Ministry of Communication and Transport,"Kasahara, Kaoru"
48493-002,Madhya Pradesh Skills Development Project,India,Sovereign,Loan | Technical Assistance,Active,3710 | 9595,26/09/2018,"150,000,000.00",Madhya Pradesh,Education,Technical and vocational education and training,B,B,C,Sectors Group,"Department of Technical Education, Skill Development and Employment, Government of Madhya Pradesh","Bhambri, Poonam Sharma"
49001-002,Urban Water Supply and Wastewater Management Investment Program,Fiji,Sovereign,Grant | Loan,Active,0097,09/12/2016,"153,200,000.00",Nation-wide,Water and other urban infrastructure and services,Urban sewerage | Urban water supply,B,C,B,Pacific Department,,"Blaik, Stephen"
49001-003,"Urban Water Supply and Wastewater Management Investment Program, Tranche 1",Fiji,Sovereign,Grant | Loan,Active,0531 | 3512,15/11/2016,"42,109,000.00",,Water and other urban infrastructure and services,Urban water supply,B,C,B,Sectors Group,Ministry of Economy,"Blaik, Stephen"
49013-002,Toktogul Rehabilitation Phase 3 Project,Kyrgyz Republic,Sovereign,Grant | Loan,Active,0494 | 3422,08/09/2016,"110,000,000.00","Nation-wide, Toktogulskaya Gidroelektrostantsiya, Toktogulskaya Gidroelektrostantsiya",Energy,Energy efficiency and conservation | Energy sector development and institutional reform | Large hydropower generation,B,C,C,Sectors Group,"Ministry of Energy and Industry of Kyrgyz Republic (formerly State Committee for Industry, Energy and Subsoil Use of the Kyrgyz Republic)","Aldeev, Samat"
49021-002,Heilongjiang Green Urban and Economic Revitalization Project,"China, People's Republic of",Sovereign,Loan | Technical Assistance,Active,3613 | 3827 | 9436,05/12/2017,"460,750,000.00","Hegang, Jixi, Qitaihe Shi, Shuangyashan","Agriculture, natural resources and rural development | Energy | Finance | Industry and trade | Transport | Water and other urban infrastructure and services",Land-based natural resources management | Energy efficiency and conservation | Small and medium enterprise finance and leasing | Small and medium enterprise development | Urban public transport | Urban roads and traffic management | Urban flood protection | Urban sewerage | Urban water supply,A,C,A,Sectors Group,Heilongjiang Provincial Finance Department,"Liu, Xinjian"
49026-002,Basic Infrastructure for Inclusive Growth in the Northeastern Provinces Sector Project,Viet Nam,Sovereign,Loan,Active,3633,15/12/2017,"150,000,000.00","Bac Kan, Cao Bang, Ha Giang, Lang Son","Agriculture, natural resources and rural development | Transport",Agricultural production | Rural market infrastructure | Rural water supply services | Road transport (non-urban),B,B,B,Sectors Group,Provincial Peoples Committee of Bac Kan Province,"khuc, huong thi lan"
49026-003,Basic Infrastructure for Inclusive Growth in the North Central Provinces Sector Project,Viet Nam,Sovereign,Loan,Active,3634 | 3635,15/12/2017,"149,000,000.00","Tinh Ha Tinh, Tinh Nghe An, Tinh Quang Binh, Tinh Quang Tri","Agriculture, natural resources and rural development | Transport",Irrigation | Rural flood protection | Rural water supply services | Road transport (non-urban),B,B,B,Sectors Group,Provincial People's Committee of Ha Tinh Province,"khuc, huong thi lan"
49026-004,Climate Resilient Inclusive Infrastructure for Ethnic Minorities Project I,Viet Nam,Sovereign,Grant | Loan,Active,0798 | 4100 | 4103,25/08/2021,"58,000,000.00","Tinh Binh Dinh, Tinh Quang Nam","Agriculture, natural resources and rural development | Transport",Irrigation | Rural flood protection | Rural water supply services | Water-based natural resources management | Road transport (non-urban),B,B,B,Sectors Group,Binh Dinh Provincial People's Committee,"khuc, huong thi lan"
49028-002,Hebei Elderly Care Development Project,"China, People's Republic of",Sovereign,Loan | Technical Assistance,Active,3536 | 9326,06/06/2017,"100,670,000.00",Nation-wide,Education | Health,Education sector development - social protection initiatives | Health sector development and reform | Health system development,B,C,B,Sectors Group,Chengde Haoren Elderly Care Service Industry Corporation,"Lu, Lanlan"
49042-004,"Central Asia Regional Economic Cooperation Corridors 2, 5, and 6 (Dushanbeâ€“Kurgonteppa) Road Project",Tajikistan,Sovereign,Grant | Loan,Active,0509 | 0510 | 0569 | 3451,31/10/2016,"155,200,000.00","Dushanbe, Kurgan-Tyube",Transport,Road transport (non-urban),B,C,A,Sectors Group,Ministry of Transport,"Nuriddinov, Farrukh Sharofiddinovich"
49048-001,Institutional Transformation of the Punjab Irrigation Department to a Water Resources Department,Pakistan,Sovereign,Technical Assistance,Active,9255,05/12/2016,"500,000.00",Punjab,"Agriculture, natural resources and rural development","Agricultural drainage | Rural water policy, institutional and capacity development | Water-based natural resources management",,,,Central and West Asia Department,Irrigation Department of the Government of Punjab,"Tayyab, Ahsan"
49054-001,Digital Solutions to Improve Agricultural Value Chains,Regional,Sovereign,Technical Assistance,Active,9902,11/12/2019,0,Nepal - Nation-wide; Pakistan - Nation-wide; Tajikistan - Nation-wide; Viet Nam - Nation-wide,"Agriculture, natural resources and rural development","Agricultural policy, institutional and capacity development | Agricultural production | Agro-industry, marketing, and trade",,,,Sectors Group,Asian Development Bank,"Twarakavi, Navin"
49055-007,Balakot Hydropower Development Project,Pakistan,Sovereign,Loan,Active,4057 | 8397,15/07/2021,"300,000,000.00",Balakot,Energy,Large hydropower generation,A,C,A,Sectors Group,"Energy and Power Department, Government of Khyber Paktunkhwa","Tareen, Adnan"
49056-002,Access to Clean Energy Investment Program,Pakistan,Sovereign,Loan | Technical Assistance,Active,3476 | 9247,25/11/2016,"325,750,000.00","Khyber Pakhtunkhwa, Punjab",Energy,Energy efficiency and conservation | Renewable energy generation - small hydro | Renewable energy generation - solar,B,B,B,Sectors Group,"Energy and Power Department, Government of Khyber Paktunkhwa","Khattak, Ehtesham Zafar"
49078-001,Seismic Safety Improvement Program,Armenia,Sovereign,Loan | Technical Assistance,Active,3284 | 4351 | 8958,22/09/2015,"161,600,000.00",Nation-wide,Education | Water and other urban infrastructure and services,"Education sector development | Other urban services | Urban policy, institutional and capacity development",B,C,C,Sectors Group,Ministry of Territorial Administration and Development,"Mousaelyan, Gohar Rouben"
49078-003,Support and Validation of Seismic Safety Improvement Program Indicators,Armenia,Sovereign,Technical Assistance,Active,9655,16/11/2018,"1,180,000.00",Nation-wide,Water and other urban infrastructure and services,Other urban services,,,,Sectors Group,Ministry of Territorial Administration and Development,"Mousaelyan, Gohar Rouben"
